
Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Paraguay,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Réunion,2,2,3,66.67%,1.33,00:00:30,0.00%,0,$0.00
Slovakia,2,2,2,50.00%,1.50,00:01:22,0.00%,0,$0.00
Andorra,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Afghanistan,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Barbados,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bahrain,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Egypt,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ethiopia,1,1,1,0.00%,2.00,00:02:13,0.00%,0,$0.00
Grenada,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Georgia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Guernsey,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ghana,1,1,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Gibraltar,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Jamaica,1,1,1,0.00%,2.00,00:00:12,0.00%,0,$0.00
Kazakhstan,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
St. Lucia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Sri Lanka,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Latvia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Mongolia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Mauritius,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Maldives,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nicaragua,1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nepal,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Panama,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
French Polynesia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Zambia,1,1,1,0.00%,2.00,00:02:19,0.00%,0,$0.00
Total,"10,635","10,587","11,861",91.05%,1.11,00:00:23,0.00%,0,$0.00
